num,code,name,inst,loc,day,period,final
11374,CAP3020,Theory and Practice of Multimedia Production,Joshua Fox,NRG 0205,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11374,CAP3020,Theory and Practice of Multimedia Production,Joshua Fox,NRG 0205,R,16:5,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
11398,CAP3034,Introduction to Computer Aided Animation,Rong Zhang,CSE E231,MWF,9:35,10:25,4/26/2022 @ 12:30 PM - 2:30 PM
0,CAP4136,Malware Reverse Engineering,STAFF,TBA,MWF,10:40,11:30,--
31264,CAP4613,Deep Learning for Computer Graphics,Corey Toler-Franklin,NSC 0215,MWF,11:45,12:35,--
11402,CAP4730,Computational Structures in Computer Graphics,Alireza Entezari,NZH 0112,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP4730,Computational Structures in Computer Graphics,Alireza Entezari,NZH 0112,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
23937,CAP4770,Introduction to Data Science,Jorg Peters,CSE E222,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
0,CAP4770,Introduction to Data Science,Jorg Peters,CSE E222,MWF,16:5,16:55,4/29/2022 @ 10:00 AM - 12:00 PM
0,CAP5100,Human Computer Interaction,Sharon Chuyew Yee,CSE E222,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP5100,Human Computer Interaction,Sharon Chuyew Yee,CSE E222,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP5108,Research Methods for Human Centered Computing,Kristy Boyer,CSE E119,T,8:30,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CAP5108,Research Methods for Human Centered Computing,Kristy Boyer,CSE E119,R,9:35,10:25,4/25/2022 @ 10:00 AM - 12:00 PM
0,CAP6137,Malware Reverse Engineering,Joseph Wilson,PUGH 120,MWF,10:40,11:30,4/28/2022 @ 3:00 PM - 5:00 PM
0,CAP6610,Machine Learning,Kejun Huang,CSE E119,T,15:0,16:55,4/28/2022 @ 10:00 AM - 12:00 PM
0,CAP6610,Machine Learning,Kejun Huang,CSE E119,R,16:5,16:55,4/28/2022 @ 10:00 AM - 12:00 PM
0,CAP6615,Neural Networks for Computing,Mark Schmalz,FLG 0270,T,15:0,16:55,4/28/2022 @ 5:30 PM - 7:30 PM
