code,isbn,text
CAP3020,9781466598645,"THE ART OF GAME DESIGN: A BOOK OF LENSES, SECOND EDITION by JESSE SCHELL"
CAP4613,9780262035613,Deep Learning by Ian Goodfellow and Yoshua Bengio and Aaron Courville
CAP5108,9780128053904,"Research Methods in Human-Computer Interaction by Lazar, Feng, & Hochheiser"
CAP6137,9781593272906,PRACTICAL MALWARE ANALYSIS by MICHAEL SIKORSKI AND ANDREW HONIG
CAP6137,1457122324,"MALWARE ANALYST’S COOKBOOK AND DVD by M. LIGH, S. ADAIR, B. HARTSTEIN, M. RICHARD"
CAP6610,9780262035613,DEEP LEARNING by IAN GOODFELLOW
CAP6610,387310738,PATTERN RECOGNITION AND MACHINE LEARNING by CHRISTOPHER M. BISHOP
CAP6610,9780262018029,MACHINE LEARNING: A PROBABILISTIC PERSPECTIVE by KEVIN P. MURPHY
CDA3101,9780128017333,"COMPUTER ORGANIZATION AND DESIGN by PATTERSON, HENNESSY"
CIS4930Applied ML,9781492032649,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent System by Aurélien Géron"
CIS4930Internet Network Tech,9789332585492,Computer Networking: A Top-Down Approach by KUROSE
CIS6930Applied ML,9781492032649,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems by Aurélien Géron"
CNT4007,9780133594140,"COMPUTER NETWORKING: A TOP-DOWN APPROACH by JAMES KUROSE, KEITH ROSS"
CNT6107,130661023,COMPUTER NETWORKS by 	A. TANENBAUM
COP3502C,9798203913258,"PROGRAMMING IN JAVA WITH ZYLABS by ROMAN LYSECKY, ADRIAN LIZARRAGA"
COP3530,9780132847377,DATA STRUCTURES & ALGORITHM ANALYSIS IN C++ by WEISS
